,name,youtube,avg_hashtag,avg_comment,avg_self_comment,post_interval,ppl_img_ratio,comment_user_num,lang_ratio
0,0__0man,0__0man,0.0,40.2,0.0,1.1111111111111112,0.86,"{'comment1': 219, 'comment2': 31, 'comment3': 9, 'comment4': 3, 'comment5': 2, 'comment6': 6, 'comment7': 1, 'comment8': 0, 'comment9': 1, 'comment10': 0, 'over_10': 1}","{'ko': '55.47', 'emoji': '44.53'}"
0,edmmer,EDMMER,0.6,24.0,3.2,1.4285714285714286,0.93,"{'comment1': 107, 'comment2': 24, 'comment3': 8, 'comment4': 3, 'comment5': 3, 'comment6': 1, 'comment7': 1, 'comment8': 1, 'comment9': 0, 'comment10': 0, 'over_10': 1}","{'ko': '95.00', 'emoji': '5.00'}"
0,seonozzi,JungSeonho,0.3,35.1,0.0,0.1724137931034483,0.15,"{'comment1': 225, 'comment2': 34, 'comment3': 11, 'comment4': 5, 'comment5': 1, 'comment6': 0, 'comment7': 0, 'comment8': 1, 'comment9': 0, 'comment10': 1, 'over_10': 1}","{'ko': '87.44', 'emoji': '12.56'}"
0,hyesunee,Mr19940711,0.9,30.7,0.0,0.5882352941176471,0.71,"{'comment1': 133, 'comment2': 28, 'comment3': 9, 'comment4': 4, 'comment5': 2, 'comment6': 1, 'comment7': 0, 'comment8': 3, 'comment9': 0, 'comment10': 0, 'over_10': 1}","{'ko': '83.39', 'emoji': '16.61'}"
0,hun1188,UC-6FxcmnbyVeZaYc025I_xQ,1.4,1.3,10.6,0.1282051282051282,0.67,"{'comment1': 4, 'comment2': 2, 'comment3': 0, 'comment4': 0, 'comment5': 1, 'comment6': 0, 'comment7': 0, 'comment8': 0, 'comment9': 0, 'comment10': 0, 'over_10': 0}","{'ko': '84.62', 'emoji': '15.38'}"
0,hansangki0755,UC-IBt8pM8hWx8wiwjcDLdIQ,3.5,19.7,170.7,0.5263157894736842,0.07,"{'comment1': 78, 'comment2': 23, 'comment3': 3, 'comment4': 1, 'comment5': 0, 'comment6': 0, 'comment7': 0, 'comment8': 0, 'comment9': 0, 'comment10': 0, 'over_10': 1}",{'ko': '100.00'}
0,bellawithlucas,UC-Ju7Rpx4V9XsrLh2DXh9tw_1,1.6,11.7,11.2,0.2564102564102564,0.85,"{'comment1': 46, 'comment2': 16, 'comment3': 1, 'comment4': 1, 'comment5': 3, 'comment6': 1, 'comment7': 0, 'comment8': 0, 'comment9': 0, 'comment10': 0, 'over_10': 1}","{'ko': '73.50', 'emoji': '26.50'}"
0,lucas_d.h,UC-Ju7Rpx4V9XsrLh2DXh9tw_2,2.4,7.0,242.2,0.18867924528301888,0.79,"{'comment1': 49, 'comment2': 18, 'comment3': 4, 'comment4': 2, 'comment5': 3, 'comment6': 1, 'comment7': 1, 'comment8': 0, 'comment9': 0, 'comment10': 0, 'over_10': 1}","{'ko': '93.33', 'emoji': '6.67'}"
0,bellaluv90,UC-Ju7Rpx4V9XsrLh2DXh9tw_3,2.3,7.7,16.7,0.19230769230769232,0.95,"{'comment1': 33, 'comment2': 12, 'comment3': 2, 'comment4': 2, 'comment5': 0, 'comment6': 1, 'comment7': 0, 'comment8': 0, 'comment9': 0, 'comment10': 0, 'over_10': 0}","{'ko': '81.82', 'emoji': '18.18'}"
